,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,3065,SCX,ISM,66
1,10000,3065,SCX,ISM,66
0,20000,3065,SCX,ISM,66
2,1000,3132,SCX,ISM,67
1,10000,3132,SCX,ISM,67
0,20000,3132,SCX,ISM,67
2,1000,3011,SCX,ISM,68
1,10000,3011,SCX,ISM,68
0,20000,3011,SCX,ISM,68
2,1000,3036,SCX,ISM,69
1,10000,3036,SCX,ISM,69
0,20000,3036,SCX,ISM,69
2,1000,3144,SCX,ISM,70
1,10000,3144,SCX,ISM,70
0,20000,3144,SCX,ISM,70
2,1000,3081,SCX,ISM,71
1,10000,3073,SCX,ISM,71
0,20000,3073,SCX,ISM,71
2,1000,3122,SCX,ISM,72
1,10000,3122,SCX,ISM,72
0,20000,3122,SCX,ISM,72
2,1000,3133,SCX,ISM,73
1,10000,3133,SCX,ISM,73
0,20000,3133,SCX,ISM,73
2,1000,3098,SCX,ISM,74
1,10000,3096,SCX,ISM,74
0,20000,3095,SCX,ISM,74
2,1000,3250,SCX,ISM,75
1,10000,3250,SCX,ISM,75
0,20000,3250,SCX,ISM,75
2,1000,3098,SCX,ISM,76
1,10000,3098,SCX,ISM,76
0,20000,3098,SCX,ISM,76
2,1000,3017,SCX,ISM,77
1,10000,3017,SCX,ISM,77
0,20000,3017,SCX,ISM,77
2,1000,3037,SCX,ISM,78
1,10000,3037,SCX,ISM,78
0,20000,3037,SCX,ISM,78
2,1000,3135,SCX,ISM,79
1,10000,3135,SCX,ISM,79
0,20000,3135,SCX,ISM,79
2,1000,3044,SCX,ISM,80
1,10000,3044,SCX,ISM,80
0,20000,3044,SCX,ISM,80
2,1000,2998,SCX,ISM,81
1,10000,2998,SCX,ISM,81
0,20000,2998,SCX,ISM,81
2,1000,3105,SCX,ISM,82
1,10000,3105,SCX,ISM,82
0,20000,3105,SCX,ISM,82
2,1000,3113,SCX,ISM,83
1,10000,3113,SCX,ISM,83
0,20000,3113,SCX,ISM,83
2,1000,3077,SCX,ISM,84
1,10000,3077,SCX,ISM,84
0,20000,3077,SCX,ISM,84
2,1000,3060,SCX,ISM,85
1,10000,3057,SCX,ISM,85
0,20000,3057,SCX,ISM,85
2,1000,3086,SCX,ISM,86
1,10000,3086,SCX,ISM,86
0,20000,3086,SCX,ISM,86
2,1000,3138,SCX,ISM,87
1,10000,3138,SCX,ISM,87
0,20000,3138,SCX,ISM,87
2,1000,3144,SCX,ISM,88
1,10000,3144,SCX,ISM,88
0,20000,3144,SCX,ISM,88
2,1000,3030,SCX,ISM,89
1,10000,3030,SCX,ISM,89
0,20000,3030,SCX,ISM,89
2,1000,3072,SCX,ISM,90
1,10000,3072,SCX,ISM,90
0,20000,3072,SCX,ISM,90
2,1000,3008,SCX,ISM,91
1,10000,3008,SCX,ISM,91
0,20000,3008,SCX,ISM,91
2,1000,3074,SCX,ISM,92
1,10000,3074,SCX,ISM,92
0,20000,3074,SCX,ISM,92
2,1000,3044,SCX,ISM,93
1,10000,3044,SCX,ISM,93
0,20000,3044,SCX,ISM,93
2,1000,3021,SCX,ISM,94
1,10000,3021,SCX,ISM,94
0,20000,3021,SCX,ISM,94
2,1000,3126,SCX,ISM,95
1,10000,3126,SCX,ISM,95
0,20000,3126,SCX,ISM,95
2,1000,2977,SCX,ISM,96
1,10000,2977,SCX,ISM,96
0,20000,2977,SCX,ISM,96
2,1000,3059,SCX,ISM,97
1,10000,3059,SCX,ISM,97
0,20000,3059,SCX,ISM,97
2,1000,3113,SCX,ISM,98
1,10000,3113,SCX,ISM,98
0,20000,3113,SCX,ISM,98
2,1000,3006,SCX,ISM,99
1,10000,3006,SCX,ISM,99
0,20000,3006,SCX,ISM,99
