,Generation,Best Solution,CrossOver,Mutation,Iteration
0,20000,6220,SCX,ISM,43
2,1000,6373,SCX,ISM,44
1,10000,6230,SCX,ISM,44
0,20000,6183,SCX,ISM,44
2,1000,6238,SCX,ISM,45
1,10000,6121,SCX,ISM,45
0,20000,6100,SCX,ISM,45
2,1000,7250,SCX,ISM,46
1,10000,7100,SCX,ISM,46
0,20000,6876,SCX,ISM,46
2,1000,6320,SCX,ISM,47
1,10000,6219,SCX,ISM,47
0,20000,6087,SCX,ISM,47
2,1000,6668,SCX,ISM,48
1,10000,6600,SCX,ISM,48
0,20000,6490,SCX,ISM,48
2,1000,6131,SCX,ISM,49
1,10000,6096,SCX,ISM,49
0,20000,6095,SCX,ISM,49
2,1000,6920,SCX,ISM,50
1,10000,6736,SCX,ISM,50
0,20000,6663,SCX,ISM,50
2,1000,6615,SCX,ISM,51
1,10000,6535,SCX,ISM,51
0,20000,6433,SCX,ISM,51
2,1000,6360,SCX,ISM,52
1,10000,6047,SCX,ISM,52
0,20000,6036,SCX,ISM,52
2,1000,5885,SCX,ISM,53
1,10000,5775,SCX,ISM,53
0,20000,5720,SCX,ISM,53
2,1000,6720,SCX,ISM,54
1,10000,6649,SCX,ISM,54
0,20000,6518,SCX,ISM,54
2,1000,6771,SCX,ISM,55
1,10000,6702,SCX,ISM,55
0,20000,6613,SCX,ISM,55
2,1000,6348,SCX,ISM,56
1,10000,6276,SCX,ISM,56
0,20000,6274,SCX,ISM,56
2,1000,6507,SCX,ISM,57
1,10000,6425,SCX,ISM,57
0,20000,6411,SCX,ISM,57
2,1000,6161,SCX,ISM,58
1,10000,6116,SCX,ISM,58
0,20000,6047,SCX,ISM,58
2,1000,7043,SCX,ISM,59
1,10000,6878,SCX,ISM,59
0,20000,6832,SCX,ISM,59
2,1000,6121,SCX,ISM,60
1,10000,6023,SCX,ISM,60
0,20000,5931,SCX,ISM,60
2,1000,6618,SCX,ISM,61
1,10000,6533,SCX,ISM,61
0,20000,6477,SCX,ISM,61
2,1000,7007,SCX,ISM,62
1,10000,6889,SCX,ISM,62
0,20000,6792,SCX,ISM,62
2,1000,7149,SCX,ISM,63
1,10000,7028,SCX,ISM,63
0,20000,6973,SCX,ISM,63
2,1000,6636,SCX,ISM,64
1,10000,6440,SCX,ISM,64
0,20000,6378,SCX,ISM,64
2,1000,6254,SCX,ISM,65
1,10000,6140,SCX,ISM,65
0,20000,6140,SCX,ISM,65
2,1000,6310,SCX,ISM,66
1,10000,6240,SCX,ISM,66
0,20000,6140,SCX,ISM,66
2,1000,7031,SCX,ISM,67
1,10000,6950,SCX,ISM,67
0,20000,6808,SCX,ISM,67
2,1000,6037,SCX,ISM,68
1,10000,5884,SCX,ISM,68
0,20000,5803,SCX,ISM,68
2,1000,6233,SCX,ISM,69
1,10000,6043,SCX,ISM,69
0,20000,6011,SCX,ISM,69
2,1000,8779,SCX,ISM,70
1,10000,8549,SCX,ISM,70
0,20000,8153,SCX,ISM,70
2,1000,6616,SCX,ISM,71
1,10000,6552,SCX,ISM,71
0,20000,6486,SCX,ISM,71
2,1000,6402,SCX,ISM,72
1,10000,6306,SCX,ISM,72
0,20000,6159,SCX,ISM,72
2,1000,6275,SCX,ISM,73
1,10000,6075,SCX,ISM,73
0,20000,6010,SCX,ISM,73
2,1000,6783,SCX,ISM,74
1,10000,6762,SCX,ISM,74
0,20000,6673,SCX,ISM,74
2,1000,6872,SCX,ISM,75
1,10000,6740,SCX,ISM,75
0,20000,6656,SCX,ISM,75
2,1000,6030,SCX,ISM,76
1,10000,6000,SCX,ISM,76
0,20000,5947,SCX,ISM,76
2,1000,7426,SCX,ISM,77
1,10000,7220,SCX,ISM,77
0,20000,7132,SCX,ISM,77
2,1000,7023,SCX,ISM,78
1,10000,6923,SCX,ISM,78
0,20000,6911,SCX,ISM,78
2,1000,5938,SCX,ISM,79
1,10000,5861,SCX,ISM,79
0,20000,5770,SCX,ISM,79
2,1000,6769,SCX,ISM,80
1,10000,6598,SCX,ISM,80
0,20000,6542,SCX,ISM,80
2,1000,7064,SCX,ISM,81
1,10000,6893,SCX,ISM,81
0,20000,6717,SCX,ISM,81
2,1000,7700,SCX,ISM,82
1,10000,7621,SCX,ISM,82
0,20000,7377,SCX,ISM,82
2,1000,6781,SCX,ISM,83
1,10000,6691,SCX,ISM,83
0,20000,6509,SCX,ISM,83
2,1000,7123,SCX,ISM,84
1,10000,6932,SCX,ISM,84
0,20000,6836,SCX,ISM,84
2,1000,6371,SCX,ISM,85
1,10000,6233,SCX,ISM,85
0,20000,6118,SCX,ISM,85
2,1000,6257,SCX,ISM,86
1,10000,6143,SCX,ISM,86
0,20000,6136,SCX,ISM,86
2,1000,6228,SCX,ISM,87
1,10000,6165,SCX,ISM,87
0,20000,5970,SCX,ISM,87
2,1000,7810,SCX,ISM,88
1,10000,7697,SCX,ISM,88
0,20000,7422,SCX,ISM,88
2,1000,5518,SCX,ISM,89
1,10000,5486,SCX,ISM,89
0,20000,5486,SCX,ISM,89
2,1000,6531,SCX,ISM,90
1,10000,6478,SCX,ISM,90
0,20000,6422,SCX,ISM,90
2,1000,6389,SCX,ISM,91
1,10000,6237,SCX,ISM,91
0,20000,6229,SCX,ISM,91
2,1000,6126,SCX,ISM,92
1,10000,6042,SCX,ISM,92
0,20000,6023,SCX,ISM,92
2,1000,5478,SCX,ISM,93
1,10000,5428,SCX,ISM,93
0,20000,5385,SCX,ISM,93
2,1000,6258,SCX,ISM,94
1,10000,6250,SCX,ISM,94
0,20000,6178,SCX,ISM,94
2,1000,6502,SCX,ISM,95
1,10000,6317,SCX,ISM,95
0,20000,6181,SCX,ISM,95
2,1000,5627,SCX,ISM,96
1,10000,5596,SCX,ISM,96
0,20000,5490,SCX,ISM,96
2,1000,8069,SCX,ISM,97
1,10000,7645,SCX,ISM,97
0,20000,7478,SCX,ISM,97
2,1000,6253,SCX,ISM,98
1,10000,6194,SCX,ISM,98
0,20000,6123,SCX,ISM,98
2,1000,6763,SCX,ISM,99
1,10000,6586,SCX,ISM,99
0,20000,6519,SCX,ISM,99
