,Generation,Best Solution,CrossOver,Mutation,Iteration
1,10000,25943,SCX,SM,5
0,20000,25943,SCX,SM,5
2,1000,25943,SCX,RM,5
1,10000,25943,SCX,RM,5
0,20000,25943,SCX,RM,5
2,1000,32378,OX,ISM,6
1,10000,27049,OX,ISM,6
0,20000,26346,OX,ISM,6
2,1000,33933,OX,IVM,6
1,10000,29571,OX,IVM,6
0,20000,27982,OX,IVM,6
2,1000,31168,OX,SM,6
1,10000,28053,OX,SM,6
0,20000,27861,OX,SM,6
2,1000,28001,OX,RM,6
1,10000,27982,OX,RM,6
0,20000,27671,OX,RM,6
2,1000,25647,SCX,ISM,6
1,10000,25647,SCX,ISM,6
0,20000,25647,SCX,ISM,6
2,1000,25333,SCX,IVM,6
1,10000,25361,SCX,IVM,6
0,20000,25647,SCX,IVM,6
2,1000,25647,SCX,SM,6
1,10000,25647,SCX,SM,6
0,20000,25647,SCX,SM,6
2,1000,26233,SCX,RM,6
1,10000,26233,SCX,RM,6
0,20000,26233,SCX,RM,6
2,1000,27039,OX,ISM,7
1,10000,26352,OX,ISM,7
0,20000,25650,OX,ISM,7
2,1000,31942,OX,IVM,7
1,10000,30513,OX,IVM,7
0,20000,28345,OX,IVM,7
2,1000,30195,OX,SM,7
1,10000,29738,OX,SM,7
0,20000,29738,OX,SM,7
2,1000,31427,OX,RM,7
1,10000,26720,OX,RM,7
0,20000,26087,OX,RM,7
2,1000,25525,SCX,ISM,7
1,10000,25525,SCX,ISM,7
0,20000,25525,SCX,ISM,7
2,1000,25525,SCX,IVM,7
1,10000,25525,SCX,IVM,7
0,20000,25525,SCX,IVM,7
2,1000,25525,SCX,SM,7
1,10000,25525,SCX,SM,7
0,20000,25525,SCX,SM,7
2,1000,26288,SCX,RM,7
1,10000,26288,SCX,RM,7
0,20000,26288,SCX,RM,7
2,1000,29057,OX,ISM,8
1,10000,27260,OX,ISM,8
0,20000,26617,OX,ISM,8
2,1000,28580,OX,IVM,8
1,10000,27816,OX,IVM,8
0,20000,27062,OX,IVM,8
2,1000,28307,OX,SM,8
1,10000,27369,OX,SM,8
0,20000,26715,OX,SM,8
2,1000,29130,OX,RM,8
1,10000,27827,OX,RM,8
0,20000,27342,OX,RM,8
2,1000,26133,SCX,ISM,8
1,10000,26133,SCX,ISM,8
0,20000,25696,SCX,ISM,8
2,1000,26133,SCX,IVM,8
1,10000,26133,SCX,IVM,8
0,20000,26133,SCX,IVM,8
2,1000,26133,SCX,SM,8
1,10000,26133,SCX,SM,8
0,20000,26018,SCX,SM,8
2,1000,26110,SCX,RM,8
1,10000,26133,SCX,RM,8
0,20000,26133,SCX,RM,8
2,1000,29502,OX,ISM,9
1,10000,26353,OX,ISM,9
0,20000,25213,OX,ISM,9
2,1000,29502,OX,IVM,9
1,10000,27924,OX,IVM,9
0,20000,26937,OX,IVM,9
2,1000,31538,OX,SM,9
1,10000,30389,OX,SM,9
0,20000,30389,OX,SM,9
2,1000,27955,OX,RM,9
1,10000,27409,OX,RM,9
0,20000,27158,OX,RM,9
2,1000,26207,SCX,ISM,9
1,10000,26207,SCX,ISM,9
0,20000,26207,SCX,ISM,9
2,1000,26207,SCX,IVM,9
1,10000,26207,SCX,IVM,9
0,20000,26207,SCX,IVM,9
2,1000,26207,SCX,SM,9
1,10000,26207,SCX,SM,9
0,20000,26207,SCX,SM,9
2,1000,25778,SCX,RM,9
1,10000,25767,SCX,RM,9
0,20000,25778,SCX,RM,9
2,1000,26636,OX,ISM,10
1,10000,24428,OX,ISM,10
0,20000,24252,OX,ISM,10
2,1000,26698,OX,IVM,10
1,10000,25541,OX,IVM,10
0,20000,25537,OX,IVM,10
2,1000,26907,OX,SM,10
1,10000,24952,OX,SM,10
0,20000,24952,OX,SM,10
2,1000,27123,OX,RM,10
1,10000,26432,OX,RM,10
0,20000,24954,OX,RM,10
2,1000,24698,SCX,ISM,10
1,10000,24698,SCX,ISM,10
0,20000,24698,SCX,ISM,10
2,1000,24663,SCX,IVM,10
1,10000,24698,SCX,IVM,10
0,20000,24698,SCX,IVM,10
2,1000,24698,SCX,SM,10
1,10000,24698,SCX,SM,10
0,20000,24698,SCX,SM,10
2,1000,24698,SCX,RM,10
1,10000,24698,SCX,RM,10
0,20000,24698,SCX,RM,10
2,1000,26339,OX,ISM,11
1,10000,26005,OX,ISM,11
0,20000,25783,OX,ISM,11
2,1000,26379,OX,IVM,11
1,10000,25528,OX,IVM,11
0,20000,24886,OX,IVM,11
2,1000,26466,OX,SM,11
1,10000,26171,OX,SM,11
0,20000,26141,OX,SM,11
2,1000,27604,OX,RM,11
1,10000,26380,OX,RM,11
0,20000,26156,OX,RM,11
2,1000,25647,SCX,ISM,11
1,10000,25647,SCX,ISM,11
0,20000,25647,SCX,ISM,11
2,1000,25647,SCX,IVM,11
1,10000,25647,SCX,IVM,11
0,20000,25647,SCX,IVM,11
2,1000,25647,SCX,SM,11
1,10000,25647,SCX,SM,11
0,20000,25647,SCX,SM,11
2,1000,25647,SCX,RM,11
1,10000,25647,SCX,RM,11
0,20000,25647,SCX,RM,11
2,1000,30209,OX,ISM,12
1,10000,29219,OX,ISM,12
0,20000,28991,OX,ISM,12
2,1000,30209,OX,IVM,12
1,10000,26692,OX,IVM,12
0,20000,25641,OX,IVM,12
2,1000,31760,OX,SM,12
1,10000,31383,OX,SM,12
0,20000,30957,OX,SM,12
2,1000,26703,OX,RM,12
1,10000,25191,OX,RM,12
0,20000,24745,OX,RM,12
2,1000,25760,SCX,ISM,12
1,10000,25760,SCX,ISM,12
0,20000,25760,SCX,ISM,12
2,1000,25760,SCX,IVM,12
1,10000,25760,SCX,IVM,12
0,20000,25760,SCX,IVM,12
2,1000,25760,SCX,SM,12
1,10000,25760,SCX,SM,12
0,20000,25760,SCX,SM,12
2,1000,25877,SCX,RM,12
1,10000,25877,SCX,RM,12
0,20000,25877,SCX,RM,12
2,1000,31026,OX,ISM,13
1,10000,29443,OX,ISM,13
0,20000,26804,OX,ISM,13
2,1000,31525,OX,IVM,13
1,10000,29859,OX,IVM,13
0,20000,27893,OX,IVM,13
2,1000,32719,OX,SM,13
1,10000,32242,OX,SM,13
0,20000,29786,OX,SM,13
2,1000,29615,OX,RM,13
1,10000,29033,OX,RM,13
0,20000,27985,OX,RM,13
2,1000,26133,SCX,ISM,13
1,10000,26133,SCX,ISM,13
0,20000,25651,SCX,ISM,13
2,1000,26133,SCX,IVM,13
1,10000,26133,SCX,IVM,13
0,20000,26133,SCX,IVM,13
2,1000,26133,SCX,SM,13
1,10000,26133,SCX,SM,13
0,20000,26097,SCX,SM,13
2,1000,26133,SCX,RM,13
1,10000,26133,SCX,RM,13
0,20000,25647,SCX,RM,13
2,1000,31608,OX,ISM,14
1,10000,31007,OX,ISM,14
0,20000,29634,OX,ISM,14
2,1000,31864,OX,IVM,14
1,10000,30488,OX,IVM,14
0,20000,29950,OX,IVM,14
2,1000,30702,OX,SM,14
1,10000,30363,OX,SM,14
0,20000,29608,OX,SM,14
2,1000,26445,OX,RM,14
1,10000,25845,OX,RM,14
0,20000,24859,OX,RM,14
2,1000,25647,SCX,ISM,14
1,10000,25647,SCX,ISM,14
0,20000,25647,SCX,ISM,14
2,1000,25647,SCX,IVM,14
1,10000,25647,SCX,IVM,14
0,20000,25647,SCX,IVM,14
2,1000,25647,SCX,SM,14
1,10000,25647,SCX,SM,14
0,20000,25647,SCX,SM,14
2,1000,24698,SCX,RM,14
1,10000,24698,SCX,RM,14
0,20000,24698,SCX,RM,14
2,1000,32864,OX,ISM,15
1,10000,30283,OX,ISM,15
0,20000,29519,OX,ISM,15
2,1000,35762,OX,IVM,15
1,10000,34269,OX,IVM,15
0,20000,31664,OX,IVM,15
2,1000,35439,OX,SM,15
1,10000,34233,OX,SM,15
0,20000,33448,OX,SM,15
2,1000,25878,OX,RM,15
1,10000,25578,OX,RM,15
0,20000,25093,OX,RM,15
2,1000,24605,SCX,ISM,15
1,10000,24698,SCX,ISM,15
0,20000,24698,SCX,ISM,15
2,1000,24698,SCX,IVM,15
1,10000,24698,SCX,IVM,15
0,20000,24698,SCX,IVM,15
2,1000,24698,SCX,SM,15
1,10000,24698,SCX,SM,15
0,20000,24698,SCX,SM,15
2,1000,24698,SCX,RM,15
1,10000,24698,SCX,RM,15
0,20000,24698,SCX,RM,15
2,1000,26805,OX,ISM,16
1,10000,24695,OX,ISM,16
0,20000,24595,OX,ISM,16
2,1000,28470,OX,IVM,16
1,10000,27569,OX,IVM,16
0,20000,27046,OX,IVM,16
2,1000,28288,OX,SM,16
1,10000,27036,OX,SM,16
0,20000,26360,OX,SM,16
2,1000,35944,OX,RM,16
1,10000,33459,OX,RM,16
0,20000,30475,OX,RM,16
2,1000,24698,SCX,ISM,16
1,10000,24698,SCX,ISM,16
0,20000,24698,SCX,ISM,16
2,1000,24698,SCX,IVM,16
1,10000,24698,SCX,IVM,16
0,20000,24698,SCX,IVM,16
2,1000,24698,SCX,SM,16
1,10000,24698,SCX,SM,16
0,20000,24698,SCX,SM,16
2,1000,25778,SCX,RM,16
1,10000,25778,SCX,RM,16
0,20000,25778,SCX,RM,16
2,1000,28908,OX,ISM,17
1,10000,27371,OX,ISM,17
0,20000,27165,OX,ISM,17
2,1000,28633,OX,IVM,17
1,10000,27494,OX,IVM,17
0,20000,27332,OX,IVM,17
2,1000,28813,OX,SM,17
1,10000,28631,OX,SM,17
0,20000,27780,OX,SM,17
2,1000,36499,OX,RM,17
1,10000,34218,OX,RM,17
0,20000,32413,OX,RM,17
2,1000,25760,SCX,ISM,17
1,10000,25760,SCX,ISM,17
0,20000,25760,SCX,ISM,17
2,1000,25760,SCX,IVM,17
1,10000,25760,SCX,IVM,17
0,20000,25760,SCX,IVM,17
2,1000,25760,SCX,SM,17
1,10000,25760,SCX,SM,17
0,20000,25760,SCX,SM,17
2,1000,25760,SCX,RM,17
1,10000,25730,SCX,RM,17
0,20000,25377,SCX,RM,17
2,1000,28214,OX,ISM,18
1,10000,25879,OX,ISM,18
0,20000,25486,OX,ISM,18
2,1000,29986,OX,IVM,18
1,10000,29658,OX,IVM,18
0,20000,28924,OX,IVM,18
2,1000,28214,OX,SM,18
1,10000,27862,OX,SM,18
0,20000,27574,OX,SM,18
2,1000,27221,OX,RM,18
1,10000,26468,OX,RM,18
0,20000,24778,OX,RM,18
2,1000,26355,SCX,ISM,18
1,10000,26355,SCX,ISM,18
0,20000,26331,SCX,ISM,18
2,1000,26355,SCX,IVM,18
1,10000,26355,SCX,IVM,18
0,20000,26355,SCX,IVM,18
2,1000,26355,SCX,SM,18
1,10000,26355,SCX,SM,18
0,20000,25318,SCX,SM,18
2,1000,26355,SCX,RM,18
1,10000,26355,SCX,RM,18
0,20000,26355,SCX,RM,18
2,1000,28330,OX,ISM,19
1,10000,27458,OX,ISM,19
0,20000,26683,OX,ISM,19
2,1000,30674,OX,IVM,19
1,10000,30275,OX,IVM,19
0,20000,28471,OX,IVM,19
2,1000,27830,OX,SM,19
1,10000,27217,OX,SM,19
0,20000,27022,OX,SM,19
2,1000,30250,OX,RM,19
1,10000,27528,OX,RM,19
0,20000,27186,OX,RM,19
2,1000,26131,SCX,ISM,19
1,10000,26131,SCX,ISM,19
0,20000,26131,SCX,ISM,19
2,1000,26131,SCX,IVM,19
1,10000,26108,SCX,IVM,19
0,20000,26131,SCX,IVM,19
2,1000,26131,SCX,SM,19
1,10000,26131,SCX,SM,19
0,20000,26131,SCX,SM,19
2,1000,26131,SCX,RM,19
1,10000,26131,SCX,RM,19
0,20000,26131,SCX,RM,19
2,1000,26805,OX,ISM,20
1,10000,25853,OX,ISM,20
0,20000,25370,OX,ISM,20
2,1000,26777,OX,IVM,20
1,10000,26140,OX,IVM,20
0,20000,25512,OX,IVM,20
2,1000,26805,OX,SM,20
1,10000,25139,OX,SM,20
0,20000,24830,OX,SM,20
2,1000,30842,OX,RM,20
1,10000,30507,OX,RM,20
0,20000,29028,OX,RM,20
2,1000,25778,SCX,ISM,20
1,10000,25778,SCX,ISM,20
0,20000,25778,SCX,ISM,20
2,1000,25778,SCX,IVM,20
1,10000,25778,SCX,IVM,20
0,20000,25778,SCX,IVM,20
2,1000,25778,SCX,SM,20
1,10000,25778,SCX,SM,20
0,20000,25778,SCX,SM,20
2,1000,25778,SCX,RM,20
1,10000,25778,SCX,RM,20
0,20000,25647,SCX,RM,20
2,1000,27938,OX,ISM,21
1,10000,26784,OX,ISM,21
0,20000,25652,OX,ISM,21
2,1000,30758,OX,IVM,21
1,10000,28985,OX,IVM,21
0,20000,27221,OX,IVM,21
2,1000,27653,OX,SM,21
1,10000,26921,OX,SM,21
0,20000,26869,OX,SM,21
2,1000,26955,OX,RM,21
1,10000,26667,OX,RM,21
0,20000,25194,OX,RM,21
2,1000,25760,SCX,ISM,21
1,10000,25760,SCX,ISM,21
0,20000,25760,SCX,ISM,21
2,1000,25760,SCX,IVM,21
1,10000,25760,SCX,IVM,21
0,20000,25760,SCX,IVM,21
2,1000,25760,SCX,SM,21
1,10000,25725,SCX,SM,21
0,20000,25725,SCX,SM,21
2,1000,26309,SCX,RM,21
1,10000,26309,SCX,RM,21
0,20000,26309,SCX,RM,21
2,1000,26849,OX,ISM,22
1,10000,26273,OX,ISM,22
0,20000,25589,OX,ISM,22
2,1000,30186,OX,IVM,22
1,10000,27249,OX,IVM,22
0,20000,26600,OX,IVM,22
2,1000,29604,OX,SM,22
1,10000,28103,OX,SM,22
0,20000,27667,OX,SM,22
2,1000,25847,OX,RM,22
1,10000,24973,OX,RM,22
0,20000,24358,OX,RM,22
2,1000,25420,SCX,ISM,22
1,10000,25420,SCX,ISM,22
0,20000,24891,SCX,ISM,22
2,1000,25420,SCX,IVM,22
1,10000,25420,SCX,IVM,22
0,20000,25420,SCX,IVM,22
2,1000,25420,SCX,SM,22
1,10000,25420,SCX,SM,22
0,20000,25202,SCX,SM,22
2,1000,25420,SCX,RM,22
1,10000,25420,SCX,RM,22
0,20000,25420,SCX,RM,22
2,1000,29565,OX,ISM,23
1,10000,28578,OX,ISM,23
0,20000,28153,OX,ISM,23
2,1000,28644,OX,IVM,23
1,10000,27568,OX,IVM,23
0,20000,26714,OX,IVM,23
2,1000,28524,OX,SM,23
1,10000,28283,OX,SM,23
0,20000,26853,OX,SM,23
2,1000,28290,OX,RM,23
1,10000,27165,OX,RM,23
0,20000,25486,OX,RM,23
2,1000,26133,SCX,ISM,23
1,10000,26133,SCX,ISM,23
0,20000,26133,SCX,ISM,23
2,1000,26133,SCX,IVM,23
1,10000,26133,SCX,IVM,23
0,20000,26133,SCX,IVM,23
2,1000,26133,SCX,SM,23
1,10000,26133,SCX,SM,23
0,20000,26133,SCX,SM,23
2,1000,26133,SCX,RM,23
1,10000,26133,SCX,RM,23
0,20000,26133,SCX,RM,23
2,1000,26587,OX,ISM,24
1,10000,25549,OX,ISM,24
0,20000,25333,OX,ISM,24
2,1000,26686,OX,IVM,24
1,10000,26683,OX,IVM,24
0,20000,26001,OX,IVM,24
2,1000,27113,OX,SM,24
1,10000,26509,OX,SM,24
0,20000,25311,OX,SM,24
2,1000,34033,OX,RM,24
1,10000,32555,OX,RM,24
0,20000,30353,OX,RM,24
2,1000,24629,SCX,ISM,24
1,10000,24698,SCX,ISM,24
0,20000,24698,SCX,ISM,24
2,1000,24673,SCX,IVM,24
1,10000,24698,SCX,IVM,24
0,20000,24698,SCX,IVM,24
2,1000,24411,SCX,SM,24
1,10000,24698,SCX,SM,24
0,20000,24698,SCX,SM,24
2,1000,24815,SCX,RM,24
1,10000,24815,SCX,RM,24
0,20000,24815,SCX,RM,24
2,1000,31150,OX,ISM,25
1,10000,29312,OX,ISM,25
0,20000,28538,OX,ISM,25
2,1000,29864,OX,IVM,25
1,10000,27638,OX,IVM,25
0,20000,27256,OX,IVM,25
2,1000,31300,OX,SM,25
1,10000,31285,OX,SM,25
0,20000,30758,OX,SM,25
2,1000,26709,OX,RM,25
1,10000,25030,OX,RM,25
0,20000,24670,OX,RM,25
2,1000,26288,SCX,ISM,25
1,10000,26257,SCX,ISM,25
0,20000,26288,SCX,ISM,25
2,1000,26288,SCX,IVM,25
1,10000,26288,SCX,IVM,25
0,20000,26288,SCX,IVM,25
2,1000,26288,SCX,SM,25
1,10000,26220,SCX,SM,25
0,20000,26220,SCX,SM,25
2,1000,26288,SCX,RM,25
1,10000,26288,SCX,RM,25
0,20000,26288,SCX,RM,25
2,1000,27342,OX,ISM,26
1,10000,24778,OX,ISM,26
0,20000,24567,OX,ISM,26
2,1000,27342,OX,IVM,26
1,10000,26732,OX,IVM,26
0,20000,26347,OX,IVM,26
2,1000,27342,OX,SM,26
1,10000,27067,OX,SM,26
0,20000,27067,OX,SM,26
2,1000,36324,OX,RM,26
1,10000,32624,OX,RM,26
0,20000,31046,OX,RM,26
2,1000,26782,SCX,ISM,26
1,10000,26782,SCX,ISM,26
0,20000,26782,SCX,ISM,26
2,1000,26782,SCX,IVM,26
1,10000,26782,SCX,IVM,26
0,20000,26782,SCX,IVM,26
2,1000,26782,SCX,SM,26
1,10000,26782,SCX,SM,26
0,20000,26782,SCX,SM,26
2,1000,26478,SCX,RM,26
1,10000,26478,SCX,RM,26
0,20000,26478,SCX,RM,26
2,1000,27496,OX,ISM,27
1,10000,25446,OX,ISM,27
0,20000,25277,OX,ISM,27
2,1000,27334,OX,IVM,27
1,10000,26224,OX,IVM,27
0,20000,24950,OX,IVM,27
2,1000,27496,OX,SM,27
1,10000,26503,OX,SM,27
0,20000,25883,OX,SM,27
2,1000,26259,OX,RM,27
1,10000,24578,OX,RM,27
0,20000,24005,OX,RM,27
2,1000,25943,SCX,ISM,27
1,10000,25943,SCX,ISM,27
0,20000,25943,SCX,ISM,27
2,1000,25943,SCX,IVM,27
1,10000,25943,SCX,IVM,27
0,20000,25943,SCX,IVM,27
2,1000,25943,SCX,SM,27
1,10000,25943,SCX,SM,27
0,20000,25943,SCX,SM,27
2,1000,25943,SCX,RM,27
1,10000,25943,SCX,RM,27
0,20000,25943,SCX,RM,27
2,1000,29368,OX,ISM,28
1,10000,28385,OX,ISM,28
0,20000,27720,OX,ISM,28
2,1000,30692,OX,IVM,28
1,10000,29112,OX,IVM,28
0,20000,28808,OX,IVM,28
2,1000,28929,OX,SM,28
1,10000,28860,OX,SM,28
0,20000,26480,OX,SM,28
2,1000,38970,OX,RM,28
1,10000,34463,OX,RM,28
0,20000,30861,OX,RM,28
2,1000,26478,SCX,ISM,28
1,10000,26478,SCX,ISM,28
0,20000,26478,SCX,ISM,28
2,1000,26478,SCX,IVM,28
1,10000,26478,SCX,IVM,28
0,20000,26478,SCX,IVM,28
2,1000,26478,SCX,SM,28
1,10000,26478,SCX,SM,28
0,20000,26478,SCX,SM,28
2,1000,26478,SCX,RM,28
1,10000,26478,SCX,RM,28
0,20000,26478,SCX,RM,28
2,1000,36041,OX,ISM,29
1,10000,35644,OX,ISM,29
0,20000,34882,OX,ISM,29
2,1000,39019,OX,IVM,29
1,10000,33826,OX,IVM,29
0,20000,30748,OX,IVM,29
2,1000,38084,OX,SM,29
1,10000,34971,OX,SM,29
0,20000,34757,OX,SM,29
2,1000,29499,OX,RM,29
1,10000,28099,OX,RM,29
0,20000,26697,OX,RM,29
2,1000,25943,SCX,ISM,29
1,10000,25266,SCX,ISM,29
0,20000,25943,SCX,ISM,29
2,1000,25943,SCX,IVM,29
1,10000,25846,SCX,IVM,29
0,20000,25943,SCX,IVM,29
2,1000,25943,SCX,SM,29
1,10000,25887,SCX,SM,29
0,20000,25943,SCX,SM,29
2,1000,26133,SCX,RM,29
1,10000,26133,SCX,RM,29
0,20000,26097,SCX,RM,29
2,1000,29671,OX,ISM,30
1,10000,26553,OX,ISM,30
0,20000,25292,OX,ISM,30
2,1000,27984,OX,IVM,30
1,10000,27184,OX,IVM,30
0,20000,26601,OX,IVM,30
2,1000,26476,OX,SM,30
1,10000,26071,OX,SM,30
0,20000,25643,OX,SM,30
2,1000,24542,OX,RM,30
1,10000,23267,OX,RM,30
0,20000,23014,OX,RM,30
2,1000,25878,SCX,ISM,30
1,10000,25878,SCX,ISM,30
0,20000,25878,SCX,ISM,30
2,1000,25878,SCX,IVM,30
1,10000,25878,SCX,IVM,30
0,20000,25878,SCX,IVM,30
2,1000,25878,SCX,SM,30
1,10000,25878,SCX,SM,30
0,20000,25878,SCX,SM,30
2,1000,25878,SCX,RM,30
1,10000,25878,SCX,RM,30
0,20000,25878,SCX,RM,30
2,1000,26473,OX,ISM,31
1,10000,24826,OX,ISM,31
0,20000,24727,OX,ISM,31
2,1000,28078,OX,IVM,31
1,10000,27338,OX,IVM,31
0,20000,26156,OX,IVM,31
2,1000,28389,OX,SM,31
1,10000,28320,OX,SM,31
0,20000,27416,OX,SM,31
2,1000,25740,OX,RM,31
1,10000,25542,OX,RM,31
0,20000,25542,OX,RM,31
2,1000,25764,SCX,ISM,31
1,10000,25764,SCX,ISM,31
0,20000,25764,SCX,ISM,31
2,1000,25764,SCX,IVM,31
1,10000,25764,SCX,IVM,31
0,20000,25764,SCX,IVM,31
2,1000,25764,SCX,SM,31
1,10000,25764,SCX,SM,31
0,20000,25764,SCX,SM,31
2,1000,25760,SCX,RM,31
1,10000,25725,SCX,RM,31
0,20000,25725,SCX,RM,31
2,1000,32959,OX,ISM,32
1,10000,30770,OX,ISM,32
0,20000,30428,OX,ISM,32
2,1000,37135,OX,IVM,32
1,10000,34318,OX,IVM,32
0,20000,31728,OX,IVM,32
2,1000,38083,OX,SM,32
1,10000,33740,OX,SM,32
0,20000,33119,OX,SM,32
2,1000,27903,OX,RM,32
1,10000,26655,OX,RM,32
0,20000,26358,OX,RM,32
2,1000,25420,SCX,ISM,32
1,10000,25420,SCX,ISM,32
0,20000,25420,SCX,ISM,32
2,1000,25395,SCX,IVM,32
1,10000,25420,SCX,IVM,32
0,20000,25420,SCX,IVM,32
2,1000,25133,SCX,SM,32
1,10000,25420,SCX,SM,32
0,20000,25420,SCX,SM,32
2,1000,25420,SCX,RM,32
1,10000,25420,SCX,RM,32
0,20000,25420,SCX,RM,32
2,1000,29306,OX,ISM,33
1,10000,26505,OX,ISM,33
0,20000,26026,OX,ISM,33
2,1000,29376,OX,IVM,33
1,10000,28593,OX,IVM,33
0,20000,28244,OX,IVM,33
2,1000,29306,OX,SM,33
1,10000,28078,OX,SM,33
0,20000,26647,OX,SM,33
2,1000,28526,OX,RM,33
1,10000,26482,OX,RM,33
0,20000,26259,OX,RM,33
2,1000,25525,SCX,ISM,33
1,10000,25525,SCX,ISM,33
0,20000,25525,SCX,ISM,33
2,1000,25525,SCX,IVM,33
1,10000,25525,SCX,IVM,33
0,20000,25525,SCX,IVM,33
2,1000,25525,SCX,SM,33
1,10000,25525,SCX,SM,33
0,20000,25525,SCX,SM,33
2,1000,25525,SCX,RM,33
1,10000,25525,SCX,RM,33
0,20000,25525,SCX,RM,33
2,1000,46857,OX,ISM,34
1,10000,43886,OX,ISM,34
0,20000,41979,OX,ISM,34
2,1000,47400,OX,IVM,34
